1737.1	1.00	0.50	2.600	6750.0	6750.0	1737.1	2.600	1.6248	0.0000	
1736.1	1.00	0.50	2.600	6750.0	6750.0	1736.1	2.600	1.6245	0.0056	
1736.1	3.20	1.80	2.762	6750.0	6750.0	1736.1	2.762	1.6245	0.0056	
1725.1	3.20	1.80	2.762	6750.0	6750.0	1725.1	2.762	1.6196	0.0781	
1725.1	5.50	3.30	2.762	6750.0	6750.0	1725.1	2.762	1.6196	0.0781	
1709.1	5.50	3.30	2.762	6750.0	6750.0	1709.1	2.762	1.6127	0.1825	
1709.1	7.54	4.34	3.312	6750.0	6750.0	1697.1	2.762	1.6076	0.2599	
1697.1	7.55	4.34	3.314	6750.0	6750.0	1697.1	3.314	1.6076	0.2599	
1671.7	7.57	4.35	3.318	9000.0	4000.0	1671.7	3.318	1.5851	0.5086	
1647.1	7.59	4.36	3.322	9000.0	4000.0	1647.1	3.322	1.5632	0.7470	
1627.1	7.61	4.37	3.325	9000.0	4000.0	1627.1	3.325	1.5454	0.9389	
1607.1	7.63	4.38	3.329	9000.0	4000.0	1607.1	3.329	1.5276	1.1290	
1587.1	7.64	4.39	3.332	9000.0	4000.0	1587.1	3.332	1.5098	1.3174	
1567.1	7.66	4.40	3.335	9000.0	4000.0	1567.1	3.335	1.4920	1.5040	
1547.1	7.68	4.40	3.338	9000.0	4000.0	1547.1	3.338	1.4741	1.6888	
1527.1	7.69	4.41	3.341	9000.0	4000.0	1527.1	3.341	1.4562	1.8718	
1502.0	7.71	4.42	3.344	9000.0	4000.0	1502.0	3.344	1.4338	2.0988	
1487.1	7.72	4.43	3.346	9000.0	4000.0	1487.1	3.346	1.4204	2.2321	
1461.7	7.74	4.44	3.350	3375.0	1500.0	1461.7	3.350	1.3976	2.4570	
1447.1	7.75	4.44	3.352	3375.0	1500.0	1447.1	3.352	1.3845	2.5848	
1427.1	7.77	4.45	3.355	3375.0	1500.0	1427.1	3.355	1.3666	2.7583	
1407.1	7.78	4.45	3.357	3375.0	1500.0	1407.1	3.357	1.3486	2.9297	
1387.1	7.80	4.46	3.360	3375.0	1500.0	1387.1	3.360	1.3306	3.0992	
1367.1	7.81	4.47	3.363	3375.0	1500.0	1367.1	3.363	1.3126	3.2666	
